Time,Alpha_L1,Alpha_L2,Alpha_R1,Alpha_R2,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_R1,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_Obj_1,X_R1,X_R2,Yaw,YawO_1,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_Obj_1,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_Obj_1,Z_R1,Z_R2
0, 8.36383362954e-18, -0, -8.36383362954e-18, -0, 0, 1.90400798362e-20, 0, -2.629323907209e-11, 0, -2.629323907209e-11, 0, -3.29522231126e-19, -0, 3.29522231126e-19, -0, 4705.658697437, 2654.825674813, 4705.658697437, 2654.825674813, 6, 0, 0, 0.1506696057217, -0, -0, -0, -0, -0, 0, 0, 0, 0, 0, 0, 0, 3.180543684351e-15, 0, -3.180543684351e-15, 0, 0.0004185266825604, 0.0004185266825604, 0.0004185266825604, 0.0004185266825604, 0, 0, 0, 0, 1, 120, 120, 120, 0.0008546452433101, -2.909135293117, 0.0008546452433101, -2.909135293117, 0, 0.0008546452433101, -2.909135293117, 16.66666666667, 0.0008546452433101, -2.909135293117, 0, 0, -3.195270793007e-15, 0, 3.195270793007e-15, 0, 0.8375, 0.8375, -0.8375, -0.8375, 0, 0.8375, 0.8375, 0, -0.8375, -0.8375, -0, -0, -0, -0, -0.00855730425281, 0.3164415720245, 0.3240939340492, 0, 0.3164415720245, 0.3240939340492
0.025, -0.0004739076713218, 0.0003516402087003, 0.0004739076713215, -0.0003516402086887, 4.233069647581e-15, -3.876483251546e-16, 0, -29.30964393442, -14.58534914665, -29.30964393442, -14.58534914665, 0.3789426771414, -0.2124710698134, -0.378942677141, 0.2124710698073, 4687.875922975, 2659.398280475, 4687.875922975, 2659.398280475, 6, 0, -9.080910215004e-19, 0.1479306698059, -0, -0, -0, -0, -0, -6.678808465817e-17, 0, 0, 0, 0, 0, -6.678830726649e-17, -0.0005088177714873, 0.0003660162279762, 0.0005088177714872, -0.0003660162279765, 0.4083855560449, 0.4083983879362, 0.4083855560449, 0.4083983879362, 0.8332540316203, 0.0002919159484006, -0.0002919159484006, -5.400269739505e-16, 1, 119.9694695654, 120, 119.9690474681, 0.8340904563374, -2.075898176878, 0.8340904563374, -2.075898176878, 0.8332540316203, 0.834090456323, -2.075898176884, 17.49562173553, 0.834090456323, -2.075898176884, 3.4275020834e-17, 0, 0.0002932306293212, -0.0001586793972846, -0.0002932306293211, 0.0001586793972719, 0.8374983368451, 0.8375019144769, -0.8374983368451, -0.8375019144769, -9.080910215004e-19, 0.8375011476081, 0.8374998442128, 0, -0.8375011476081, -0.8374998442128, -0, -0, -0, -0, -0.008449549613876, 0.3165079256481, 0.3240768720812, 0, 0.3165079256481, 0.3240768720812
0.05, -0.001378661958486, 0.0008357002877861, 0.001378661958485, -0.0008357002877762, 1.185686401398e-14, -2.975758571157e-16, 0, -38.36455937234, -14.7300434122, -38.36455937234, -14.7300434122, 1.327484072737, -0.5771376675973, -1.327484072737, 0.577137667593, 4637.892409234, 2669.243276014, 4637.892409234, 2669.243276014, 6, 0, -2.390321329119e-18, 0.1409656876923, -0, -0, -0, -0, -0, -2.87737251249e-16, 0, 0, 0, 0, 0, -2.877381221098e-16, -0.001753775250016, 0.001113829903211, 0.001753775250015, -0.001113829903212, 0.8162146368403, 0.8162562329245, 0.8162146368403, 0.8162562329245, 1.666326006282, 0.0009680337621421, -0.0009680337621421, -4.213866425447e-15, 1, 119.9372179434, 120, 119.9365444869, 1.667121056619, -1.242865612334, 1.667121056619, -1.242865612334, 1.666326006282, 1.667121056454, -1.242865612387, 18.32417940724, 1.667121056454, -1.242865612387, 2.420144428763e-16, 0, 0.000972351540909, -0.000481937537491, -0.0009723515409085, 0.0004819375374787, 0.8374942511621, 0.8375058268819, -0.8374942511621, -0.8375058268819, -2.390321329119e-18, 0.8375039449102, 0.8374995275419, 0, -0.8375039449102, -0.8374995275419, -0, -0, -0, -0, -0.008161673782644, 0.3166944311605, 0.3240401369686, 0, 0.3166944311605, 0.3240401369686
0.075, -0.002943234031349, 0.001312230733489, 0.002943234031335, -0.00131223073348, 1.955998234417e-14, -4.608492015193e-17, 0, -47.48141162283, -14.36853537731, -47.48141162281, -14.36853537731, 3.156328186071, -1.033022900429, -3.156328186068, 1.033022900425, 4583.733026238, 2672.196431023, 4583.733026238, 2672.196431023, 6, 0, -3.498885941516e-18, 0.1321699167232, -0, -0, -0, -0, -0, -6.191740606042e-16, 0, 0, 0, 0, 0, -6.191757080218e-16, -0.004124130996495, 0.002166094005221, 0.004124130996493, -0.002166094005222, 1.223900747223, 1.224006968088, 1.223900747223, 1.224006968088, 2.499186470405, 0.002255035308169, -0.002255035308156, -1.087948308739e-14, 1, 119.9038555627, 120, 119.9031592328, 2.499928486516, -0.4100546811259, 2.499928486516, -0.4100546811259, 2.499186470405, 2.499928485615, -0.410054681326, 19.15240303052, 2.499928485615, -0.410054681326, 6.107707479105e-16, 0, 0.002264554871242, -0.0009357695698262, -0.002264554871229, 0.0009357695698147, 0.8374863982642, 0.8375113311832, -0.8374863982642, -0.8375113311832, -3.498885941516e-18, 0.8375092083693, 0.8374990811094, 0, -0.8375092083693, -0.8374990811094, -0, -0, -0, -0, -0.007766871821626, 0.3168965177379, 0.3240291175631, 0, 0.3168965177379, 0.3240291175631
0.1, -0.004987747582828, 0.001426374459182, 0.004987747582827, -0.001426374459189, 2.791892069117e-14, 2.621540691414e-16, 0, -52.86766378364, -14.05130566759, -52.86766378361, -14.05130566761, 5.824357877315, -1.27466153258, -5.824357877311, 1.274661532579, 4545.592198606, 2664.190709011, 4545.592198606, 2664.190709011, 6, 0, -4.135810754011e-19, 0.123964304258, -0, -0, -0, -0, -0, -9.488441617349e-16, 0, 0, 0, 0, 0, -9.48846382557e-16, -0.007504651596726, 0.00294563780535, 0.007504651596724, -0.002945637805352, 1.631443782696, 1.631643653881, 1.631443782696, 1.631643653881, 3.331806955215, 0.004094031098962, -0.004094031098962, -2.228798011484e-14, 1, 119.8696609225, 120, 119.8691044239, 3.332498345794, 0.42251938079, 3.332498345794, 0.42251938079, 3.331806955215, 3.332498342815, 0.4225193804206, 19.98029368076, 3.332498342815, 0.4225193804206, 1.221788035948e-15, 0, 0.004110277660263, -0.001270494536467, -0.004110277660261, 0.001270494536469, 0.8374750481928, 0.8375154125674, -0.8374750481928, -0.8375154125674, -4.135810754011e-19, 0.837516574218, 0.8374987523453, 0, -0.837516574218, -0.8374987523453, 5.551115123126e-17, -0, 5.551115123126e-17, -0, -0.00735045766964, 0.3170388323603, 0.3240589894635, 0, 0.3170388323603, 0.3240589894635
0.125, -0.007202437634353, 0.001066335172733, 0.007202437634349, -0.001066335172728, 2.791997403025e-14, 2.459798015811e-16, 0, -53.8701664031, -13.89437674105, -53.87016640307, -13.89437674105, 8.983110664887, -1.111655978082, -8.983110664886, 1.111655978084, 4529.612591707, 2650.648597548, 4529.612591707, 2650.648597548, 6, 0, 6.057857350361e-18, 0.1175973108249, -0, -0, -0, -0, -0, -1.207730876829e-15, 0, 0, 0, 0, 0, -1.207733420672e-15, -0.01141212058671, 0.002911121986856, 0.01141212058671, -0.002911121986858, 2.038854770293, 2.039161169399, 2.038854770293, 2.039161169399, 4.164172273301, 0.006227220480256, -0.006227220480256, -3.559329896916e-14, 1, 119.835128552, 120, 119.8347512167, 4.164823102208, 1.254847872615, 4.164823102208, 1.254847872615, 4.164172273301, 4.164823095318, 1.254847872255, 20.80788772006, 4.164823095318, 1.254847872255, 1.919645007319e-15, 0, 0.006250656553763, -0.001253603392063, -0.006250656553759, 0.001253603392054, 0.8374617242067, 0.8375152417389, -0.8374617242067, -0.8375152417389, 6.057857350361e-18, 0.8375248835852, 0.8374987741674, 0, -0.8375248835852, -0.8374987741674, 5.551115123126e-17, -0, 5.551115123126e-17, -0, -0.006975132554805, 0.3170984541887, 0.3241095197401, 0, 0.3170984541887, 0.3241095197401
0.15, -0.00931101417701, 0.0004151449854046, 0.009311014177006, -0.0004151449854004, 2.500934828641e-14, 1.957053140239e-16, 0, -51.18977563785, -13.91143295625, -51.18977563786, -13.91143295625, 12.2058777625, -0.6156379555186, -12.2058777625, 0.6156379555182, 4531.547932144, 2640.036070343, 4531.547932144, 2640.036070343, 6, 0, 1.361663254961e-17, 0.1130218655136, -0, -0, -0, -0, -0, -1.386023328932e-15, 0, 0, 0, 0, 0, -1.386026025559e-15, -0.01531680164137, 0.002007885855125, 0.01531680164137, -0.002007885855128, 2.446148297823, 2.446558205632, 2.446148297823, 2.446558205632, 4.996282148385, 0.008367673777507, -0.008367673777507, -4.82226105496e-14, 1, 119.8007298411, 120, 119.8004784639, 4.996902763024, 2.086930156262, 4.996902763024, 2.086930156262, 4.996282148385, 4.9969027506, 2.08693015609, 21.63523749059, 4.9969027506, 2.08693015609, 2.575195588862e-15, 0, 0.008397904076406, -0.0008628910275917, -0.008397904076401, 0.0008628910275842, 0.8374482022383, 0.8375105245118, -0.8374482022383, -0.8375105245118, 1.361663254961e-17, 0.8375329697996, 0.837499164959, 0, -0.8375329697996, -0.837499164959, -0, -0, -0, -0, -0.006668084679394, 0.3170912277288, 0.3241491189415, 0, 0.3170912277288, 0.3241491189415
0.175, -0.01115478189199, -0.0002147874931481, 0.01115478189198, 0.0002147874931516, 2.225229352954e-14, 5.379030738759e-17, 0, -46.00855925203, -14.05461094771, -46.00855925203, -14.05461094771, 15.15199121578, -0.03096236433097, -15.15199121578, 0.03096236433316, 4542.87136097, 2637.313468562, 4542.87136097, 2637.313468562, 6, 0, 2.171096614279e-17, 0.1095010065311, -0, -0, -0, -0, -0, -1.513333356813e-15, 0, 0, 0, 0, 0, -1.513336120547e-15, -0.0188487870105, 0.0006653382579994, 0.0188487870105, -0.0006653382580024, 2.853337729368, 2.85383649809, 2.853337729368, 2.85383649809, 5.828145299012, 0.01031146610576, -0.01031146610576, -6.011260741342e-14, 1, 119.7668193519, 120, 119.7666141478, 5.828742228259, 2.918771249868, 5.828742228259, 2.918771249868, 5.828145299012, 5.828742209423, 2.918771249849, 22.46239726398, 5.828742209423, 2.918771249849, 3.188927996518e-15, 0, 0.01034750789941, -0.0002840042599757, -0.0103475078994, 0.0002840042599693, 0.8374357974731, 0.8375034973811, -0.8374357974731, -0.8375034973811, 2.171096614279e-17, 0.8375400981508, 0.8374997331323, 0, -0.8375400981508, -0.8374997331323, -0, -0, -0, -0, -0.006427101145092, 0.317048970303, 0.3241592780805, 0, 0.317048970303, 0.3241592780805
0.2, -0.01269892352975, -0.000588984901114, 0.01269892352974, 0.0005889849011172, 1.944129968414e-14, 1.794462108501e-16, 0, -39.58010969138, -14.25390271542, -39.58010969138, -14.25390271542, 17.64149092936, 0.4027909741856, -17.64149092936, -0.4027909741845, 4555.759853019, 2641.849062769, 4555.759853019, 2641.849062769, 6, 0, 3.011208060388e-17, 0.1062915083782, -0, -0, -0, -0, -0, -1.507946917402e-15, 0, 0, 0, 0, 0, -1.50794951223e-15, -0.02185887380964, -0.0005354420446148, 0.02185887380964, 0.0005354420446117, 3.26043271632, 3.260999257026, 3.26043271632, 3.260999257026, 6.659772476285, 0.01197370368361, -0.01197370368361, -7.020761138193e-14, 1, 119.733609927, 120, 119.7333950211, 6.660348154823, 3.750378367956, 6.660348154823, 3.750378367956, 6.659772476285, 6.660348129464, 3.750378367944, 23.28941067365, 6.660348129464, 3.750378367944, 3.704988491926e-15, 0, 0.01201427553614, 0.0002327865874649, -0.01201427553613, -0.0002327865874702, 0.837425094315, 0.8374972023943, -0.837425094315, -0.8374972023943, 3.011208060388e-17, 0.8375460331053, 0.837500231578, 0, -0.8375460331053, -0.837500231578, -5.551115123126e-17, -5.551115123126e-17, -5.551115123126e-17, -5.551115123126e-17, -0.006234593606576, 0.3170008730012, 0.3241423542292, 0, 0.3170008730012, 0.3241423542292
0.225, -0.01399151537523, -0.0006492581922745, 0.01399151537522, 0.0006492581922646, 1.707990878704e-14, 2.059710739751e-16, 0, -31.80727757787, -14.46153025984, -31.80727757787, -14.46153025984, 19.63394517005, 0.5720164225485, -19.63394517005, -0.5720164225463, 4565.493107283, 2649.531006156, 4565.493107283, 2649.531006156, 6, 0, 4.042164790959e-17, 0.1030002403466, -0, -0, -0, -0, -0, -1.344010193736e-15, 0, 0, 0, 0, 0, -1.344012365459e-15, -0.02437565863179, -0.00120492767761, 0.02437565863179, 0.001204927677607, 3.667439482189, 3.668049875201, 3.667439482189, 3.668049875201, 7.49117238761, 0.01336712547264, -0.01336712547264, -7.94690598094e-14, 1, 119.7012102083, 120, 119.7009677602, 7.49172700111, 4.581758448003, 7.49172700111, 4.581758448003, 7.49117238761, 7.491726969547, 4.581758447942, 24.11630679874, 7.491726969547, 4.581758447942, 4.169439941142e-15, 0, 0.0134109670794, 0.0005200787460358, -0.0134109670794, -0.0005200787460274, 0.8374160461526, 0.8374936876847, -0.8374160461526, -0.8374936876847, 4.042164790959e-17, 0.8375508941287, 0.8375005037811, 0, -0.8375508941287, -0.8375005037811, -0, -5.551115123126e-17, -0, -5.551115123126e-17, -0.006070304276387, 0.3169645492733, 0.3241136902039, 0, 0.3169645492733, 0.3241136902039
