Time,AVy_L1,AVy_L2,AVy_R1,AVy_R2,AV_Eng,Ax,Ay,A_Bttry,Bk_Stat,EffMt_D2_L,EffMt_D2_R,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L2,Fz_R1,Fz_R2,KappaRef,Kappa_L1,Kappa_L2,Kappa_R1,Kappa_R2,KappL_L1,KappL_L2,KappL_R1,KappL_R2,ModeHybr,ModeTran,My_Dr_L2,My_Dr_R2,M_D3r,M_Eng_In,M_Gnrtr,M_MtC_D2_L,M_MtC_D2_R,M_Mtr_D2_L,M_Mtr_D2_R,M_TCMD_L2,M_TCMD_R2,M_Trans,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PwMtC_D2_L,PwMtC_D2_R,PwrBtrCh,PwrBtrDs,PwrBttry,PwrDrHEV,PwrEngIn,PwrEngRq,PwrGnrtr,PwrMt_D2_L,PwrMt_D2_R,RollGL1,RollGL2,RollGR1,RollGR2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,SocBttry,Throttle,Thr_Eng,Thr_HEV,TmDarkL1,TmDarkL2,TmDarkR1,TmDarkR2,TmLen_L1,TmLen_L2,TmLen_R1,TmLen_R2,VocBttry,Vx,Vxz_Fwd,Vx_L1,Vx_L2,Vx_R1,Vx_R2,Vy,VYaw_L1,VYaw_L2,VYaw_R1,VYaw_R2,Xctc_L1,Xctc_L2,Xctc_R1,Xctc_R2,Xo,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1,Yctc_L2,Yctc_R1,Yctc_R2,Yo,Y_L1,Y_L2,Y_R1,Y_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2,Zo,Z_L1,Z_L2,Z_R1,Z_R2
0, 0, 0, 0, 0, 1450, -0.0001127503786447, -0.0001200758065601, 0, 0, 0.85975, 0.85975, 5.597858556424e-07, 0, 4.697255864446e-07, 0, -5.558639849041, -0, 4.681297087511, -0, 1832.969482895, 2087.109921483, 1531.198017732, 1911.137075691, 0.04, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0.1680189166667, 0, 0, 0, 0, 0, 0, 0, 0, -0.05832348703591, 0.0257830990385, -0.09429239772947, -0.03151267555444, 0.07252004791437, 0, 0, -22.62169197397, 17.88102798265, 0, 0, 0.02551260472277, 0, 0, 0, 0, 3.235706160093e-07, 0, 1.203563993226e-07, 0, 0, 0.5002033278751, 0, -0.5002033278751, 0, -0.0001571607889768, -0.0001620096862109, -0.0001571607889768, -0.0001620096862109, 0.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53.152, 0, 0, 0, 0, 0, 0, 0, 179.8005090818, 180, 180.1994909182, 180, -0.0003980990712272, -1.916812307378, -0.0001132979065865, -1.917636992558, 0, -0.0002789146569574, -1.917277921464, -0.0002789146569574, -1.917277921464, 0, -0.1994909181939, 0, 0.1994909181939, 0, 0.5479800404957, 0.5455, -0.5479905031279, -0.5455, 0, 0.5455, 0.5455, -0.5455, -0.5455, 0.0009612786629051, 0.0001043829925833, -0.0003507067856338, -0.0006608722299501, 0.01098113551676, 0.284980993558, 0.283029608896, 0.284980993558, 0.283029608896
0.025, 0.1546825724653, 0.163439025116, 0.1812931751176, 0.1648825489369, 1450.923085587, -0.001673559515125, -0.005385715867429, -0.1469177743638, 0, 0.85975, 0.85975, -2.606185973386, -3.040911063057, -2.371033371186, -3.241682308839, -14.83829323044, -9.055327060298, -4.808416964091, -10.90529353279, 1665.014124246, 2070.369118509, 1579.18827387, 2018.004754258, 0.04, -0.05256512457481, -0.005466121210183, -0.001846773046515, -0.1285653918907, -6.285401795152e-05, -5.938105364548e-05, -6.015128983029e-05, -6.484179685267e-05, 1, 5, 0, 0, 0, 0.1649604644164, -0.06613542364211, 0, 0, 0, 0, 0, 0, 0, -0.0665200118784, 0.02577481190153, -0.09430235358864, -0.03149444385543, 0.07254160895147, 0, 0, -22.62169196258, 17.88102797741, -0.007809272061306, 0, 0.02506414413749, 0, -0.007809272061306, 0, 0, 3.75334700095e-07, 1.428665927901e-08, 1.516979821699e-07, 6.463091066441e-08, 0.01738820961948, 0.5226392219629, 0.01790127941465, -0.4803907534601, 0.02103248860298, -0.000145197402998, -0.00015409528939, -0.0001439372718603, -0.0001350675042697, 0.8000000036591, 0, 0, 0, 0.0002962205022927, 0.0003351417563919, 0.0002786307204348, 0.0003515793262059, 0.0008426119195097, 0.0007728339548729, 0.0008435807438682, 0.0008503340922953, 53.15200000055, -0.002017531895564, -0.005620516705917, 0.0165611635027, 0.01749867728813, 0.01941024038581, 0.0176532288555, -0.001608411151971, 52.38771782591, 49.97264195098, 52.58069358194, 51.89156791276, -0.0003728505149252, -1.916794724625, -8.81100267857e-05, -1.917585696814, 6.353848414817e-05, -0.000253903069295, -1.917260506967, -0.0002531166545193, -1.917227105967, 0.0004126962510058, -0.2020145120907, 0.0004706798073764, 0.1981835138767, 0.0006892919468592, 0.5481587669845, 0.5456494194972, -0.5478226569455, -0.5453230250792, 0.0001560473057483, 0.5455608436506, 0.5455609968302, -0.545432564462, -0.5454269890532, 0.0009612591159682, 0.00010396964939, -0.0003507611430835, -0.000661080798987, 0.01113677601644, 0.2857101915235, 0.2831019676605, 0.2847731376663, 0.2825647394008
0.05, 0.07257878574466, 0.09209959013443, 0.09021497047586, 0.05490621593467, 1451.185721579, -0.001951821184367, -0.01477439558255, -0.3965980422105, 0, 0.85975, 0.85975, -3.083129952032, -2.993772211074, -1.564813460312, -5.833102963258, -30.3447923189, -26.19713729222, -22.61342037449, -29.5103258405, 1524.206313344, 2049.335134992, 1606.623687301, 2154.685766148, 0.04, -0.07193782051602, -0.05921057784175, -0.05418722630483, -0.08792458241466, -8.118051692789e-05, -5.91013313896e-05, -3.910861789103e-05, -0.0001098985135825, 1, 5, 0, 0, 0, 0.1640285628847, -0.178501875625, 0, 0, 0, 0, 0, 0, 0, -0.08281051172599, 0.02575633546085, -0.09432452529304, -0.03145379569121, 0.07258964767832, 0, 0, -22.62169190086, 17.88102794906, -0.02108215446179, 0, 0.02492706203622, 0, -0.02108215446179, 0, 0, 4.733435231101e-07, 1.818423508428e-08, 2.07330347883e-07, 1.997534614316e-07, 0.05472523060015, 0.5594810842994, 0.05496532010387, -0.4424825642351, 0.05813162280238, -0.0001265806509609, -0.0001322911954101, -0.0001166388543462, -0.0001107725892974, 0.8000000227432, 0, 0, 0, 0.000154526167159, 0.000207113131215, 0.0001690434801351, 0.0001973682316719, 0.000477614817339, 0.0004874381125016, 0.0005019721649236, 0.0004281787600165, 53.15200000355, -0.003973305283355, -0.006538141580539, 0.007770682361872, 0.00986068660767, 0.009658908903766, 0.00587856023414, -0.01082421725511, 36.38232722072, 36.5378879691, 37.8664860864, 33.74216996964, -0.0003381033688771, -1.916755419853, -4.158902982439e-05, -1.91753980552, 0.0001828149947968, -0.0002195289205649, -1.917221458688, -0.0002057226459928, -1.917181725333, 0.0008459483938825, -0.1997638291481, 0.0009475203673786, 0.1995192257164, 0.001170022950767, 0.5484649257603, 0.5459338611202, -0.5475178637415, -0.5450382715998, 0.000451644089579, 0.5456779332496, 0.5456622784257, -0.545317339175, -0.5453250189035, 0.0009612794291622, 0.0001039019270105, -0.0003507859732578, -0.0006610378974627, 0.01143137260452, 0.2863206614202, 0.2831932352841, 0.2846553514184, 0.2819703908229
0.075, -0.09931977163875, -0.07529694033202, -0.1330772177, -0.1446572337063, 1450.864588236, 0.002239721758606, -0.01401062857591, -0.5247246288816, 0, 0.85975, 0.85975, 4.016155394361, 4.901020679151, 5.993612571305, 2.399761912127, -29.02308940398, -25.52227644663, -21.35308945953, -27.15132345181, 1553.150006509, 2049.852187696, 1619.484866413, 2152.635474718, 0.04, -0.03191457764789, 0.007213587938462, -0.05289104070321, 0.0148741078846, 0.0001036219656235, 9.660942110847e-05, 0.0001484281784363, 4.519075721278e-05, 1, 5, 0, 0, 0, 0.1650827001835, -0.2362299368495, 0, 0, 0, 0, 0, 0, 0, -0.08566845865412, 0.02573812670148, -0.09434637578179, -0.03141373642324, 0.07263699043763, -0, -0, -22.62169179266, 17.88102789935, -0.02789397137496, 0, 0.02508170540959, 0, -0.02789397137496, -0, -0, 4.899060375803e-07, 1.649680502454e-08, 2.141474904479e-07, 2.31951900052e-07, 0.06678969392065, 0.5683285239878, 0.06614559623385, -0.430885941559, 0.06622001089186, -0.0001296601170992, -0.0001307195794598, -0.0001244322245551, -0.0001319263482907, 0.8000000557713, 0, 0, 0, 0.0002190772257209, 0.0002425424231806, 0.0002239543113955, 0.0002894977876799, 0.0006419415642111, 0.000540241268177, 0.0006432239829453, 0.0006507379866315, 53.15200000881, -0.003572061896581, -0.005786943622106, -0.01063371878904, -0.008061702881052, -0.0142479758753, -0.01548779582003, -0.02454781052817, 225.8407635642, 221.0309300505, 225.6461371538, 224.6841673103, -0.0003512296257343, -1.916760814695, -6.366766203641e-05, -1.917586452659, 0.0001797672361874, -0.0002328947920187, -1.917226960762, -0.0002273549814617, -1.917228131792, 0.0002253656124415, -0.198615835865, 0.0002830499951349, 0.1991506885799, 0.0002885888976218, 0.54842891375, 0.5459201193259, -0.5475448910628, -0.5450790789503, 0.0004230261351731, 0.5455991083227, 0.5455933046706, -0.545402469883, -0.5454057408579, 0.0009612994481731, 0.000103835182525, -0.0003508104435403, -0.0006609956090691, 0.0114537106751, 0.2861944118446, 0.2831908619283, 0.284599850137, 0.2819793038156
0.1, -0.1334658217364, -0.1403510735248, -0.1972371995472, -0.146804233135, 1450.431475668, 0.001652726009771, -0.00193346502373, -0.4871436686865, 0, 0.85975, 0.85975, 2.360275788324, 4.163081497223, 3.021208719794, 3.562964281664, -7.19459154573, -4.601478354755, 1.682431622339, -4.103703856372, 1657.343787429, 2066.334524672, 1617.383856918, 2052.677906454, 0.04, -0.03462868829796, -0.03291491272998, -0.07320234906828, 0.09104996895612, 5.711735831457e-05, 8.140068229559e-05, 7.485439746178e-05, 7.009783144065e-05, 1, 5, 0, 0, 0, 0.1665458317142, -0.2193798422035, 0, 0, 0, 0, 0, 0, 0, -0.07555814398788, 0.02573350771165, -0.09435191856543, -0.03140357464389, 0.07264899981118, -0, -0, -22.62169167424, 17.88102784494, -0.025895942268, 0, 0.02529645134554, 0, -0.025895942268, -0, -0, 4.277746314759e-07, 2.52501911927e-08, 1.815561010317e-07, 1.460990386077e-07, 0.04768751554308, 0.5485501823239, 0.04674585604297, -0.4503844277181, 0.04454450343082, -0.000152666844249, -0.000153301316724, -0.0001676001095975, -0.0001803971898052, 0.8000000916743, 0, 0, 0, 0.0004302577754894, 0.0004737426109719, 0.0004233272686747, 0.0004800569867895, 0.001165899384337, 0.001037534378135, 0.001194599800968, 0.001078143980628, 53.15200001456, -0.001568494827703, 0.002474320337187, -0.01428958195206, -0.01502675472342, -0.02111729497678, -0.01571766533934, -0.0320900861912, 242.1529728216, 239.3246705833, 242.7295907391, 239.7914974159, -0.0003913212808383, -1.916800457651, -0.0001362701472645, -1.917674673134, 7.520538072297e-05, -0.0002729729858747, -1.917266519998, -0.0003001568216888, -1.917315749526, -0.0013486508078, -0.201052832205, -0.001351220005229, 0.1967757097657, -0.001504942906878, 0.548021870874, 0.5455689659458, -0.5479471903467, -0.5454499692358, 2.471779837501e-05, 0.5452948595284, 0.5453380733181, -0.5457077187693, -0.545670054871, 0.0009613045281876, 0.0001038182470471, -0.0003508166477106, -0.0006609848909134, 0.01124032513151, 0.285742381003, 0.2831192771625, 0.2846082327176, 0.2824140154554
0.125, -0.007051245316562, -0.02939337128137, -0.0349265993055, -0.003129727349339, 1450.248126306, 0.0003114925947486, 0.01019617694513, -0.378731169386, 0, 0.85975, 0.85975, 0.251015019503, 0.9500808889388, -1.012291533593, 3.146829107759, 15.82955872034, 17.19942742364, 24.7538679243, 17.22012435835, 1690.477876455, 2076.462155619, 1602.501561401, 1996.995149666, 0.04, 0.01265350632138, -0.01593270266656, -0.01811178747094, 0.01913103515025, 5.959779704082e-06, 1.849871878394e-05, -2.536908272429e-05, 6.354314147047e-05, 1, 5, 0, 0, 0, 0.1671834407534, -0.1705777271873, 0, 0, 0, 0, 0, 0, 0, -0.0684640883002, 0.0257354489954, -0.09434958902801, -0.03140784546658, 0.07264395247646, -0, -0, -22.62169157455, 17.88102779914, -0.02013230286041, 0, 0.02539008706356, 0, -0.02013230286041, -0, -0, 3.858816258325e-07, 2.095317249254e-08, 1.584162585266e-07, 8.261252996879e-08, 0.02856796723049, 0.5314851068187, 0.0281642050489, -0.4695178325032, 0.02645696578358, -0.0001647676964373, -0.0001703441834133, -0.0001969333868057, -0.0002028047025021, 0.8000001217875, 0, 0, 0, 0.000244277030829, 0.0002877433681413, 0.0002367564196165, 0.0002623402792252, 0.000637959067724, 0.0006129531143374, 0.0006539204635015, 0.0005798612972441, 53.1520000194, -0.0005192915098883, -0.002872737394228, -0.0007549449477346, -0.003147015335524, -0.003739433036786, -0.0003350857535223, -0.02797067481421, 226.5375140488, 225.5390783725, 227.5682453525, 224.0071420581, -0.0004118303289739, -1.916827624397, -0.0001830484885757, -1.917714413584, 6.805335949179e-06, -0.0002933925982436, -1.917293603171, -0.0003472327266723, -1.917355208158, -0.002470106904134, -0.204469258787, -0.002466713672284, 0.1946115784921, -0.002586655641238, 0.5476207484114, 0.5452053928652, -0.5483533347824, -0.5458092397452, -0.0003781342993523, 0.5449798857949, 0.5450663159868, -0.5460181681719, -0.5459400808299, 0.0009613023948979, 0.0001038253691398, -0.0003508140405502, -0.0006609894057462, 0.0111142531515, 0.2855991232792, 0.2830753111919, 0.2846721748398, 0.2826561650643
0.15, 0.05069098446138, 0.06755703214919, 0.09537477466496, 0.09760152591772, 1450.346823785, -0.0004221053505735, 0.01286269899933, -0.3074268543074, 0, 0.85975, 0.85975, -0.006875520654795, -1.540988902799, -1.128860343804, 0.5802599308757, 19.47118603524, 23.1133303959, 29.25016659511, 22.78002965529, 1626.709287484, 2064.365474501, 1598.710486782, 2041.847875419, 0.04, 0.01552610025529, 0.05783199815904, 0.01389915833738, -0.007012434610459, -1.69718271937e-07, -3.020785044721e-05, -2.836873611295e-05, 1.147835039385e-05, 1, 5, 0, 0, 0, 0.166865751448, -0.1384512213714, 0, 0, 0, 0, 0, 0, 0, -0.07211007252371, 0.02572323992557, -0.0943642398965, -0.031380985515, 0.07267569604743, 0, 0, -22.62169149711, 17.88102776356, -0.01634165925818, 0, 0.02534356436037, 0, -0.01634165925818, 0, 0, 4.083917849315e-07, 2.271320296303e-08, 1.721487118856e-07, 1.137354073408e-07, 0.03560945516898, 0.5399768235855, 0.03550617819496, -0.4623792928034, 0.0354834414381, -0.0001640285152778, -0.0001727139559699, -0.0001895816583238, -0.0001897044790304, 0.800000145198, 0, 0, 0, 8.74846424056e-05, 4.651768417695e-05, 8.56865510229e-05, 5.666484438277e-05, 0.000250644859661, 0.0001267078375095, 0.0002864778497957, 0.0002163253009361, 53.15200002316, -0.001714126846332, -0.004998234000599, 0.005427254463112, 0.007233025914612, 0.01021134580377, 0.01044975399022, -0.01700260046773, 21.36176058373, 8.826750404667, 21.69777543102, 11.52802328547, -0.0004104257708554, -1.916829064911, -0.0001697174162119, -1.91768847359, 3.111978102549e-05, -0.0002920862453432, -1.917295202012, -0.0003336805585316, -1.917329357932, -0.001765666366588, -0.204519039888, -0.001732627320431, 0.1952051689659, -0.001736040480907, 0.5475452352772, 0.5451021394524, -0.5484349998409, -0.5458977692338, -0.000461536711823, 0.5448595740096, 0.5449267635969, -0.5461352126075, -0.5460731184816, 0.000961315820267, 0.0001037806274649, -0.0003508304497248, -0.0006609610741837, 0.01120686017241, 0.2858759846667, 0.2831278403679, 0.2846889296943, 0.2824611574137
0.175, -0.002949848297258, -0.00065301576958, 0.04119778211692, -0.001690870433289, 1450.54076814, -0.0001990252886636, 0.007691771279269, -0.3102000969856, 0, 0.85975, 0.85975, 1.780054278634, 0.2416234314255, -1.245282417726, -1.343633204488, 7.310480327158, 15.59754707431, 17.83336431333, 15.84772257172, 1557.999545487, 2035.658260514, 1620.739300524, 2116.296493985, 0.04, 0.03465000508675, -0.02332756788451, -0.06934625135534, -0.1406930232465, 4.575038318773e-05, 4.792215339662e-06, -3.084359592002e-05, -2.571983673411e-05, 1, 5, 0, 0, 0, 0.1662133350622, -0.1396802394693, 0, 0, 0, 0, 0, 0, 0, -0.07872886580637, 0.02571056154412, -0.09437945393788, -0.03135309307889, 0.07270865982709, -0, -0, -22.62169142775, 17.88102773169, -0.01648908634253, 0, 0.02524785114351, 0, -0.01648908634253, -0, -0, 4.565692763038e-07, 2.779988979231e-08, 1.894754113324e-07, 2.090166447366e-07, 0.06287896085886, 0.5660253775763, 0.06178412784273, -0.4355389893667, 0.06231696828565, -0.0001716171148355, -0.0001753554938348, -0.0001710695329135, -0.0001743930644165, 0.800000166257, 0, 0, 0, 0.0002103337640836, 0.0001669755446556, 0.0002230689233355, 0.0001757240554794, 0.0005959717273236, 0.0003619339910038, 0.0006167900721519, 0.0003657440504079, 53.15200002653, -0.002790430723242, -0.003644479970892, -0.0003158269168948, -6.991544527284e-05, 0.004410860219823, -0.0001810338505579, -0.007637507662234, 135.0197829409, 31.08395407962, 45.48130965059, 30.72295391623, -0.0004253153342666, -1.916835452325, -0.0001373508605459, -1.917659230478, 7.196114013236e-05, -0.0003071843976737, -1.917301862245, -0.0003007917817474, -1.917300354217, 0.0005201991726566, -0.2006004127789, 0.0005272254765363, 0.1985637033632, 0.0005630120049385, 0.5477473785654, 0.5452193654951, -0.5482324217914, -0.545775799386, -0.0002634355804052, 0.5449292434345, 0.544914031451, -0.5460668983538, -0.5460833776881, 0.00096132976026, 0.0001037341592786, -0.0003508474883083, -0.000660931642411, 0.01134268500028, 0.2861734718007, 0.2832524973006, 0.2845941843814, 0.2821373842785
0.2, -0.06922130290308, -0.06222202457075, -0.01902649882633, -0.07332418405843, 1450.649555774, 0.001321046138266, 0.002844194541932, -0.3549212040489, 0, 0.85975, 0.85975, 3.282736705528, 1.207732878607, 3.165948605705, 2.895964622966, -3.917319379227, 8.78095767369, 6.480193132962, 9.58115873165, 1557.430118454, 2016.676132849, 1646.356390951, 2135.903610701, 0.04, 0.03880205570683, -0.01767512583864, 0.02592167026579, -0.04228547506728, 8.439048558481e-05, 2.415931572441e-05, 7.711088477268e-05, 5.490877310732e-05, 1, 5, 0, 0, 0, 0.1658388807801, -0.1598060010598, 0, 0, 0, 0, 0, 0, 0, -0.07941201793175, 0.02570112471803, -0.09439077811737, -0.03133233206321, 0.07273319556665, -0, -0, -22.62169135217, 17.88102769697, -0.01886651400048, 0, 0.02519286070753, 0, -0.01886651400048, -0, -0, 4.728141593622e-07, 3.514342321702e-08, 1.839014810114e-07, 2.743868688443e-07, 0.08485207418191, 0.5853876927495, 0.08159687856159, -0.4147696723048, 0.08139882996653, -0.0001935709145911, -0.0001883878034419, -0.000164414098776, -0.000178846435715, 0.8000001892637, 0, 0, 0, 9.582676313134e-05, 4.651129173171e-05, 0.0001034803892581, 4.113852522992e-05, 0.0003077905437353, 0.000142589041092, 0.0002813284595192, 0.0001330587794582, 53.1520000302, -0.00234166230911, -0.003076405917947, -0.007411211857789, -0.006661830780043, -0.00203708118455, -0.007850488788364, -0.00328890310909, 155.5340264725, 170.4265712925, 155.4255710887, 172.302766037, -0.0004654870697795, -1.916859693159, -0.0001308944045044, -1.91767177656, 5.892302086269e-05, -0.0003475287472574, -1.917326279633, -0.0002939314007839, -1.917312872089, 0.002722207011205, -0.1964650312562, 0.002611294360256, 0.2019383346596, 0.00259611480107, 0.5479426336858, 0.5453289627226, -0.5480324548713, -0.5456728068079, -6.48147848982e-05, 0.5450280991858, 0.5449255819896, -0.5459710368203, -0.546074434768, 0.0009613401353986, 0.0001036995657622, -0.0003508601699143, -0.0006609097272629, 0.01134595039471, 0.2861749893471, 0.2833348708975, 0.2844835625041, 0.28205203974
0.225, -0.06187666262265, -0.03748299577449, -0.05890674984031, -0.0761219427778, 1450.628314241, 0.001241169972988, 0.003175169171706, -0.3918770472758, 0, 0.85975, 0.85975, 3.550181448791, 1.375196192105, 3.552577686102, 1.532989001224, -4.775765468499, 10.71377079929, 5.733774046323, 11.68708429416, 1603.998898477, 2026.115678891, 1644.728540778, 2097.109324504, 0.04, 0.006963518524625, 0.03950473408376, -0.004794647879765, -0.001750163136503, 8.868771175405e-05, 2.739135035875e-05, 8.66086248462e-05, 2.956966770196e-05, 1, 5, 0, 0, 0, 0.1659029988467, -0.1764494052476, 0, 0, 0, 0, 0, 0, 0, -0.0752371444132, 0.0256936146133, -0.09439979023438, -0.0313158098329, 0.07275272183418, -0, -0, -22.62169126643, 17.88102765757, -0.0208311726705, 0, 0.02520223195388, 0, -0.0208311726705, -0, -0, 4.519681658764e-07, 4.466509454369e-08, 1.685292783036e-07, 2.629827214693e-07, 0.08637928484062, 0.5853751260996, 0.08105396380392, -0.4146313896053, 0.08018490202129, -0.0002146420508055, -0.0002017943208753, -0.000174112256149, -0.0001997117019171, 0.800000215348, 0, 0, 0, 6.391278648809e-05, 9.934604398764e-05, 6.70914930182e-05, 0.000105344069788, 0.0002098417077258, 0.0002333779385717, 0.0002070008834253, 0.0002594351771738, 53.15200003437, -0.001083016492656, -0.001883675083507, -0.006624854438113, -0.004013134845761, -0.00630687930754, -0.008150032161959, -0.001013570979021, 196.1349057138, 199.7243695343, 196.9020703619, 200.2805194639, -0.0005031225990312, -1.916883806594, -0.0001487040073396, -1.917707827422, 1.125526696136e-05, -0.0003852006317777, -1.917350364707, -0.0003117205643291, -1.917348607684, 0.003644001403804, -0.1948021355123, 0.003385087780655, 0.2036086834015, 0.003322045717808, 0.5479533327335, 0.5452969615103, -0.5480195508599, -0.5457106412084, -4.818793802437e-05, 0.5450409332113, 0.5448963163366, -0.5459587735069, -0.5461065108055, 0.0009613483930647, 0.000103672032517, -0.0003508702615109, -0.0006608922904108, 0.0112531638791, 0.2859725358915, 0.2832938056925, 0.2844906348562, 0.2822207360091
